1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;и;н;в;е;к;т;и;в;а;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;н;1;1;1;1;а;1;1;л;1;1;е;1;1;1;1;б;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;а;н;д;о;р;р;а;1;е;1;и;р;а;в;а;д;и;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;п;л;е;с;1;1;1;1;е;1;о;н;а;1;м;1;1;1;1;к;л;о;п;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;ч;1;1;е;1;1;т;1;п;1;1;ч;1;1;1;1;1;а;1;1;о;1;с;1;1;о;1;1;д;1;1;1;1;1;1
1;1;1;1;1;1;л;б;и;н;а;1;1;1;а;1;1;и;1;у;ш;у;1;х;1;1;з;1;1;1;р;т;и;щ;е;1;1;1;1;1;1
1;1;1;1;1;1;е;1;1;ё;1;1;г;о;р;о;ш;е;к;1;л;1;в;т;о;р;н;и;к;1;1;о;1;1;с;1;1;1;1;1;1
1;1;1;1;1;1;н;1;с;к;а;з;1;1;т;1;1;1;а;1;а;1;и;1;1;1;о;1;1;п;а;п;а;1;я;1;1;1;1;1;1
1;1;1;1;1;1;с;1;1;1;р;1;1;л;а;н;1;ф;л;и;г;е;л;ь;1;о;б;ь;1;1;р;1;1;1;т;1;1;1;1;1;1
1;1;1;л;и;с;т;о;к;1;ы;1;1;1;1;а;1;1;и;1;1;1;ю;1;1;а;1;1;1;1;ч;1;д;ж;и;х;а;д;1;1;1
1;1;з;1;н;1;в;1;1;в;к;л;а;д;ы;ш;1;а;й;е;-;а;й;е;1;з;а;в;т;р;а;к;1;1;н;1;р;1;п;1;1
1;1;а;1;д;1;о;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;а;1;б;1;р;1;1
1;1;м;1;и;1;1;т;у;р;б;а;з;а;1;ч;и;п;с;ы;1;ш;т;а;м;м;1;я;б;л;о;ч;к;о;1;1;а;1;о;1;1
1;к;о;р;я;к;1;о;1;1;1;1;а;1;1;и;1;1;и;1;1;1;у;1;1;и;1;1;у;1;1;1;1;н;1;с;т;е;к;а;1
1;1;р;1;1;1;1;с;ш;а;1;т;е;т;ё;р;а;1;т;у;л;у;з;1;с;р;е;б;р;о;1;т;а;у;1;1;1;1;л;1;1
1;м;о;т;н;я;1;о;1;1;1;1;д;1;1;е;1;1;ц;1;1;1;и;1;1;р;1;1;к;1;1;1;1;ч;1;ш;и;б;е;р;1
1;1;з;1;а;1;1;л;е;в;и;р;а;т;1;й;е;м;е;н;1;и;к;о;н;а;1;д;а;ч;н;и;ц;а;1;1;р;1;й;1;1
1;1;о;1;ч;1;к;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;д;1;т;1;к;1;1
1;1;к;1;е;1;у;1;1;м;а;к;с;и;м;а;1;п;э;р;с;т;в;о;1;б;е;р;д;а;н;а;1;1;о;1;ы;1;а;1;1
1;1;1;о;с;е;т;и;н;1;у;1;1;1;1;у;1;1;о;1;1;1;з;1;1;а;1;1;1;1;е;1;д;е;п;е;ш;а;1;1;1
1;1;1;1;1;1;е;1;1;1;р;1;1;з;е;т;1;ф;л;а;н;е;л;ь;1;х;и;т;1;1;г;1;1;1;р;1;1;1;1;1;1
1;1;1;1;1;1;р;1;х;в;а;т;1;1;г;1;1;1;и;1;а;1;е;1;1;1;з;1;1;а;р;б;а;1;о;1;1;1;1;1;1
1;1;1;1;1;1;ь;1;1;о;1;1;ф;р;о;н;т;и;т;1;р;1;т;е;р;е;м;е;ц;1;1;о;1;1;с;1;1;1;1;1;1
1;1;1;1;1;1;м;а;р;ж;а;1;1;1;з;1;1;п;1;с;ы;н;1;м;1;1;о;1;1;1;л;б;и;щ;е;1;1;1;1;1;1
1;1;1;1;1;1;а;1;1;ж;1;1;с;1;а;1;1;с;1;1;1;1;1;к;1;1;л;1;л;1;1;е;1;1;ц;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;и;л;о;т;1;1;1;1;е;1;м;у;ж;1;о;1;1;1;1;а;г;а;р;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;а;р;т;и;к;л;ь;1;е;1;о;с;т;а;н;о;в;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;ж;1;1;1;1;о;1;1;з;1;1;т;1;1;1;1;а;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;г;н;е;з;д;о;в;ь;е;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
