1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;П;Р;И;С;Т;А;В;1;К;О;Р;Р;Е;К;Т;О;Р;1;Д;А;Н;С;И;Н;Г;1
1;А;1;1;А;1;1;А;1;А;1;1;1;Д;1;1;1;А;1;А;1;1;А;1;1;А;1
1;В;1;1;Г;1;1;Л;А;Д;А;1;1;А;1;1;Т;М;И;Н;1;1;Г;1;1;В;1
1;И;Г;Л;А;1;1;Ю;1;Р;1;1;1;1;1;1;1;А;1;Н;1;1;О;В;Ц;А;1
1;А;1;1;1;1;1;Т;1;1;1;1;1;1;1;1;1;1;1;Ы;1;1;1;1;1;Н;1
1;Н;А;Г;А;Й;К;А;1;1;1;1;1;1;1;1;1;1;1;Е;М;К;О;С;Т;Ь;1
1;1;1;1;Г;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;Б;1;1;1;1
1;В;А;Р;А;Н;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;З;Е;Ф;И;Р;1
1;Л;1;1;Т;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;Д;1;1;Е;1
1;А;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;Ф;1
1;С;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;Л;1
1;Я;В;Ь;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;Л;Ь;Е;1
1;Н;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;К;1
1;И;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;Т;1
1;Ц;1;1;Г;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;Ж;1;1;О;1
1;А;Р;Б;У;З;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;К;Е;Ф;И;Р;1
1;1;1;1;Б;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;З;1;1;1;1
1;Г;А;Б;А;Р;И;Т;1;1;1;1;1;1;1;1;1;1;1;С;Х;О;Л;А;С;Т;1
1;А;1;1;1;1;1;А;1;1;1;1;1;1;1;1;1;1;1;А;1;1;1;1;1;А;1
1;Г;Е;Р;Б;1;1;Й;1;П;1;1;1;1;1;1;1;Ф;1;Д;1;1;К;Л;У;Б;1
1;А;1;1;Е;1;1;Ф;Л;О;Т;1;1;М;1;1;П;А;Р;И;1;1;А;1;1;Е;1
1;Р;1;1;З;1;1;У;1;Л;1;1;1;И;1;1;1;Р;1;З;1;1;Ю;1;1;Л;1
1;А;Р;Л;Е;К;И;Н;1;К;О;Н;Т;Р;А;Б;А;С;1;М;А;К;Р;Е;Л;Ь;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
